country_code,year,unemployment_rate,internet_users,gdp_per_capita,tertiary_enrollment
USA,1990,,0.785,23888.6000088133,71.4957275390625
USA,1991,6.8,1.16,24342.2589048189,72.8127975463867
USA,1992,7.5,1.72,25418.9907763319,77.0626602172852
USA,1993,6.9,2.27,26387.2937338171,78.7144165039062
USA,1994,6.119,4.86,27694.853416234,79.476432800293
USA,1995,5.65,9.24,28690.8757013347,80.342529296875
USA,1996,5.451,16.4,29967.7127181749,79.3373336791992
USA,1997,5.0,21.6,31459.1299691554,
USA,1998,4.511,30.1,32853.6725949234,70.8996200561523
USA,1999,4.219,35.8,34515.3813073394,71.37548828125
USA,2000,3.992,43.0791626375201,36329.9702595751,
USA,2001,4.731,49.0808315896951,37133.6203973517,
USA,2002,5.783,58.7854038836952,37997.7424300242,
USA,2003,5.989,61.6971171244207,39490.3023903176,
USA,2004,5.529,64.7582564759896,41724.6411982614,
USA,2005,5.084,67.9681015,44123.3996470026,80.6348266601562
USA,2006,4.623,68.93119812,46301.9876485519,
USA,2007,4.622,75.0,48050.227412195,
USA,2008,5.784,74.0,48570.0594269601,
USA,2009,9.254,71.0,47194.9500893872,
USA,2010,9.633,71.69,48642.6312088213,
USA,2011,8.949,69.7294607619268,50024.8812320773,
USA,2012,8.069,74.7,51708.3940614082,
USA,2013,7.375,71.4,53297.3862901595,88.7264175415039
USA,2014,6.168,73.0,55153.3940182967,88.6268692016602
USA,2015,5.28,74.5542024462761,56849.4697923159,88.8894119262695
USA,2016,4.869,85.5444212887222,57976.628204291,88.8350524902344
USA,2017,4.355,87.2748891687657,60047.7190728307,88.1673889160156
USA,2018,3.896,88.498903165152,62875.6661382728,88.2991790771484
USA,2019,3.669,89.4302848575712,65227.9565911038,87.8887100219727
USA,2020,8.055,90.34470367,64465.2971415748,87.5676574707031
USA,2021,5.349,91.2684021,71441.2319805947,84.8550872802734
USA,2022,3.65,92.72850037,78008.6895811877,79.361930847168
USA,2023,3.638,93.52559662,82586.7847707894,
USA,2024,4.022,94.69380188,86169.6641581917,
USA,2025,4.198,,90026.5163005744,
UZB,1986,,,,15.1638803482056
UZB,1987,,,450.244536476152,
UZB,1988,,,550.999615085024,15.7634696960449
UZB,1989,,,598.123131680436,15.9843902587891
UZB,1990,,0.0,652.9376529256,16.854549407959
UZB,1991,1.9,,658.313550528068,17.0046997070312
UZB,1992,2.9,,602.920525827048,16.4374408721924
UZB,1993,4.9,,595.777099596612,
UZB,1994,7.3,,574.229079896619,
UZB,1995,7.8,0.00153,582.54213674034,
UZB,1996,10.7,0.00429,597.33228695111,
UZB,1997,10.9,0.0105,620.59129581366,
UZB,1998,13.3,0.0208,621.048904301242,
UZB,1999,13.3,0.0307,697.763539790812,12.9796800613403
UZB,2000,12.301,0.484347307694947,555.149231099186,13.0081100463867
UZB,2001,11.279,0.597567993875805,454.415812256778,13.297869682312
UZB,2002,10.256,1.08193974248733,381.409296889283,13.7379999160767
UZB,2003,9.22,1.91259517784997,394.164028897235,13.8350601196289
UZB,2004,8.152,2.59372542084924,462.171492867885,13.8527898788452
UZB,2005,7.092,3.34350988825952,542.835808692209,9.84444999694824
UZB,2006,6.035,6.38832196706805,649.118167003925,9.96053028106689
UZB,2007,4.99,7.49060468138629,824.028192334768,9.83143043518066
UZB,2008,4.89,9.0801145234501,1074.72928796701,9.89933967590332
